Sample_ID	Date_Collected	Month	Year	Station	Sample_Type	Experiment	Chl	Extraction_Date	Amplification	Enough_reads
E2019_1078_2	6-Aug-19	August	2019	Unnamed4	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1079_1	6-Aug-19	August	2019	Unnamed4	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1079_2	6-Aug-19	August	2019	Unnamed4	filtered	Mesocosm	NA	NA	NA	Yes
MC2019_0069	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0070	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0071	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0078	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0084	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0090	19-Aug-19	August	2019	WE8	Colony	Colony	NA	13-Dec-19	Yes	Yes
MC2019_0091	19-Aug-19	August	2019	WE8	PBS Blank	Colony	NA	13-Dec-19	No	No
E2019_1101_1	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1101_2	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1102_1	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1102_2	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1103_1	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1103_2	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1104_1	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1104_2	21-Aug-19	August	2019	Unnamed5	Whole Water	Mesocosm	140	NA	NA	Yes
E2019_1128_1	24-Aug-19	August	2019	Unnamed6	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1128_2	24-Aug-19	August	2019	Unnamed6	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1129_1	24-Aug-19	August	2019	Unnamed6	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1129_2	24-Aug-19	August	2019	Unnamed6	filtered	Mesocosm	NA	NA	NA	Yes
MC2019_0093	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0101	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0102	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0104	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0105	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0108	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0109	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	No
MC2019_0111	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	No
MC2019_0112	3-Sep-19	September	2019	WE8	Colony	Colony	NA	14-Dec-19	Yes	Yes
MC2019_0113	3-Sep-19	September	2019	WE8	PBS Blank	Colony	NA	14-Dec-19	No	No
MC2019_0010	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	No
MC2019_0011	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	Yes
MC2019_0012	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	Yes
MC2019_0014	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	Yes
MC2019_0020	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	Yes
MC2019_0021	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	No
MC2019_0023	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	No
MC2019_0024	9-Sep-19	September	2019	WE16	Colony	Colony	NA	8-Dec-19	Yes	No
MC2019_0025	9-Sep-19	September	2019	WE16	PBS Blank	Colony	NA	8-Dec-19	No	No
MC2019_0026	9-Sep-19	September	2019	WE16	PBS Blank	Colony	NA	8-Dec-19	No	No
MC2019_0114	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0115	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0116	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0117	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0119	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	No
MC2019_0120	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0124	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0125	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	No
MC2019_0126	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0128	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0129	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0132	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0133	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0134	16-Sep-19	September	2019	WE8	Colony	Colony	NA	19-Dec-19	Yes	Yes
MC2019_0136	16-Sep-19	September	2019	WE8	PBS Blank	Colony	NA	19-Dec-19	No	No
E2019_1178_1	20-Sep-19	September	2019	Unnamed8	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1178_2	20-Sep-19	September	2019	Unnamed8	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1179_1	20-Sep-19	September	2019	Unnamed8	filtered	Mesocosm	NA	NA	NA	Yes
E2019_1179_2	20-Sep-19	September	2019	Unnamed8	filtered	Mesocosm	NA	NA	NA	Yes
BIE_Kit_Control	nan	nan	2019	nan	nan	nan	NA	NA	NA	No
Kit_Control_1	nan	nan	2019	nan	nan	nan	NA	NA	NA	No
Kit_Control_4	nan	nan	2019	nan	nan	nan	NA	NA	NA	No
Touchdown_Water_Neg_Control	nan	nan	2019	nan	nan	nan	NA	NA	NA	No
