sample	r1	r2
SRR5246992	SRR5246992_12.06.11.1-R1.fastq_2.fastq	SRR5246992_12.06.11.1-R1.fastq_1.fastq
SRR5246993	SRR5246993_10.10.07.1-R1.fastq_2.fastq	SRR5246993_10.10.07.1-R1.fastq_1.fastq
SRR5246994	SRR5246994_10.10.06.1-R1.fastq_2.fastq	SRR5246994_10.10.06.1-R1.fastq_1.fastq
SRR5246995	SRR5246995_10.08.10.2-R1.fastq_2.fastq	SRR5246995_10.08.10.2-R1.fastq_1.fastq
SRR5246996	SRR5246996_10.08.10.1-R1.fastq_2.fastq	SRR5246996_10.08.10.1-R1.fastq_1.fastq
SRR5246997	SRR5246997_09.08.11.2-R1.fastq_2.fastq	SRR5246997_09.08.11.2-R1.fastq_1.fastq
SRR5246998	SRR5246998_09.08.11.1-R1.fastq_2.fastq	SRR5246998_09.08.11.1-R1.fastq_1.fastq
SRR5246999	SRR5246999_09.05.07.2-R1.fastq_2.fastq	SRR5246999_09.05.07.2-R1.fastq_1.fastq
SRR5247000	SRR5247000_09.05.07.1-R1.fastq_2.fastq	SRR5247000_09.05.07.1-R1.fastq_1.fastq
SRR5247001	SRR5247001_08.08.2009.p2-R1.fastq_1.fastq	SRR5247001_08.08.2009.p2-R1.fastq_2.fastq
SRR5247002	SRR5247002_08.08.2009.2b-R1.fastq_2.fastq	SRR5247002_08.08.2009.2b-R1.fastq_1.fastq
SRR5247003	SRR5247003_08.07.2009.2-R1.fastq_1.fastq	SRR5247003_08.07.2009.2-R1.fastq_2.fastq
SRR5247004	SRR5247004_08.07.2009.1-R1.fastq_2.fastq	SRR5247004_08.07.2009.1-R1.fastq_1.fastq
SRR5247005	SRR5247005_07.10.2008.5b-R1.fastq_2.fastq	SRR5247005_07.10.2008.5b-R1.fastq_1.fastq
SRR5247006	SRR5247006_07.10.08.6b-R1.fastq_1.fastq	SRR5247006_07.10.08.6b-R1.fastq_2.fastq
SRR5247007	SRR5247007_07.06.2012.2-R1.fastq_1.fastq	SRR5247007_07.06.2012.2-R1.fastq_2.fastq
SRR5247008	SRR5247008_07.06.2012.1-R1.fastq_1.fastq	SRR5247008_07.06.2012.1-R1.fastq_2.fastq
SRR5247009	SRR5247009_06.07.07.2-R1.fastq_1.fastq	SRR5247009_06.07.07.2-R1.fastq_2.fastq
SRR5247010	SRR5247010_06.07.07.1-R1.fastq_1.fastq	SRR5247010_06.07.07.1-R1.fastq_2.fastq
SRR5247011	SRR5247011_05.09.07.2-R1.fastq_1.fastq	SRR5247011_05.09.07.2-R1.fastq_2.fastq
SRR5247012	SRR5247012_05.09.07.1-R1.fastq_1.fastq	SRR5247012_05.09.07.1-R1.fastq_2.fastq
SRR5247013	SRR5247013_05.09.06.2-R1.fastq_1.fastq	SRR5247013_05.09.06.2-R1.fastq_2.fastq
SRR5247014	SRR5247014_05.09.06.1-R1.fastq_1.fastq	SRR5247014_05.09.06.1-R1.fastq_2.fastq
SRR5247015	SRR5247015_05.07.2011.2-R1.fastq_1.fastq	SRR5247015_05.07.2011.2-R1.fastq_2.fastq
SRR5247016	SRR5247016_05.07.2011.1-R1.fastq_1.fastq	SRR5247016_05.07.2011.1-R1.fastq_2.fastq
SRR5247017	SRR5247017_05.07.10.1-R1.fastq_1.fastq	SRR5247017_05.07.10.1-R1.fastq_2.fastq
SRR5247018	SRR5247018_05.06.13.2-R1.fastq_1.fastq	SRR5247018_05.06.13.2-R1.fastq_2.fastq
SRR5247019	SRR5247019_05.06.13.1-R1.fastq_1.fastq	SRR5247019_05.06.13.1-R1.fastq_2.fastq
SRR5247020	SRR5247020_05.05.10.2-R1.fastq_1.fastq	SRR5247020_05.05.10.2-R1.fastq_2.fastq
SRR5247021	SRR5247021_05.05.10.1-R1.fastq_1.fastq	SRR5247021_05.05.10.1-R1.fastq_2.fastq
SRR5247022	SRR5247022_04.08.2008.4b-R1.fastq_1.fastq	SRR5247022_04.08.2008.4b-R1.fastq_2.fastq
SRR5247023	SRR5247023_04.08.2008.2b-R1.fastq_1.fastq	SRR5247023_04.08.2008.2b-R1.fastq_2.fastq
SRR5247024	SRR5247024_03.09.08.2b-R1.fastq_1.fastq	SRR5247024_03.09.08.2b-R1.fastq_2.fastq
SRR5247025	SRR5247025_03.07.13.2-R1.fastq_1.fastq	SRR5247025_03.07.13.2-R1.fastq_2.fastq
SRR5247026	SRR5247026_03.07.13.1-R1.fastq_1.fastq	SRR5247026_03.07.13.1-R1.fastq_2.fastq
SRR5247027	SRR5247027_02.09.2009.2-R1.fastq_1.fastq	SRR5247027_02.09.2009.2-R1.fastq_2.fastq
SRR5247028	SRR5247028_02.09.09.1-R1.fastq_1.fastq	SRR5247028_02.09.09.1-R1.fastq_2.fastq
SRR5247029	SRR5247029_02.08.2006.2b-R1.fastq_1.fastq	SRR5247029_02.08.2006.2b-R1.fastq_2.fastq
SRR5247030	SRR5247030_02.08.2006.1b-R1.fastq_1.fastq	SRR5247030_02.08.2006.1b-R1.fastq_2.fastq
SRR5247031	SRR5247031_02.08.07.2-R1.fastq_1.fastq	SRR5247031_02.08.07.2-R1.fastq_2.fastq
SRR5247032	SRR5247032_02.08.07.1-R1.fastq_1.fastq	SRR5247032_02.08.07.1-R1.fastq_2.fastq
SRR5247033	SRR5247033_02.07.2008-R1.fastq_1.fastq	SRR5247033_02.07.2008-R1.fastq_2.fastq
SRR5247034	SRR5247034_02.06.2008-R1.fastq_1.fastq	SRR5247034_02.06.2008-R1.fastq_2.fastq
SRR5247035	SRR5247035_01.06.2008-R1.fastq_1.fastq	SRR5247035_01.06.2008-R1.fastq_2.fastq
SRR5247036	SRR5247036_01.06.08.1-R1.fastq_1.fastq	SRR5247036_01.06.08.1-R1.fastq_2.fastq
