sample	r1	r2
SRR10688541	SRR10688541_16S_V4_amplicon_sequencing_of_ON55M_LEP_Aug2012_1.fastq	SRR10688541_16S_V4_amplicon_sequencing_of_ON55M_LEP_Aug2012_2.fastq
SRR10688542	SRR10688542_16S_V4_amplicon_sequencing_of_ON55M_SRF_Aug2012_1.fastq	SRR10688542_16S_V4_amplicon_sequencing_of_ON55M_SRF_Aug2012_2.fastq
SRR10688543	SRR10688543_16S_V4_amplicon_sequencing_of_ON33M_B10_Aug2012_1.fastq	SRR10688543_16S_V4_amplicon_sequencing_of_ON33M_B10_Aug2012_2.fastq
SRR10688544	SRR10688544_16S_V4_amplicon_sequencing_of_ON33M_MHY_Aug2012_1.fastq	SRR10688544_16S_V4_amplicon_sequencing_of_ON33M_MHY_Aug2012_2.fastq
SRR10688545	SRR10688545_16S_V4_amplicon_sequencing_of_ON33M_LEP_Aug2012_1.fastq	SRR10688545_16S_V4_amplicon_sequencing_of_ON33M_LEP_Aug2012_2.fastq
SRR10688546	SRR10688546_16S_V4_amplicon_sequencing_of_ON33M_SRF_Aug2012_1.fastq	SRR10688546_16S_V4_amplicon_sequencing_of_ON33M_SRF_Aug2012_2.fastq
SRR10688547	SRR10688547_16S_V4_amplicon_sequencing_of_MI41M_B10_Aug2012_1.fastq	SRR10688547_16S_V4_amplicon_sequencing_of_MI41M_B10_Aug2012_2.fastq
SRR10688548	SRR10688548_16S_V4_amplicon_sequencing_of_SU08M_SRF_Apr2012_1.fastq	SRR10688548_16S_V4_amplicon_sequencing_of_SU08M_SRF_Apr2012_2.fastq
SRR10688549	SRR10688549_16S_V4_amplicon_sequencing_of_MI41M_MHY_Aug2012_1.fastq	SRR10688549_16S_V4_amplicon_sequencing_of_MI41M_MHY_Aug2012_2.fastq
SRR10688550	SRR10688550_16S_V4_amplicon_sequencing_of_MI41M_DCL_Aug2012_1.fastq	SRR10688550_16S_V4_amplicon_sequencing_of_MI41M_DCL_Aug2012_2.fastq
SRR10688551	SRR10688551_16S_V4_amplicon_sequencing_of_MI41M_SRF_Aug2012_1.fastq	SRR10688551_16S_V4_amplicon_sequencing_of_MI41M_SRF_Aug2012_2.fastq
SRR10688552	SRR10688552_16S_V4_amplicon_sequencing_of_MI27M_B10_Aug2012_1.fastq	SRR10688552_16S_V4_amplicon_sequencing_of_MI27M_B10_Aug2012_2.fastq
SRR10688553	SRR10688553_16S_V4_amplicon_sequencing_of_MI27M_MHY_Aug2012_1.fastq	SRR10688553_16S_V4_amplicon_sequencing_of_MI27M_MHY_Aug2012_2.fastq
SRR10688554	SRR10688554_16S_V4_amplicon_sequencing_of_MI27M_DCL_Aug2012_1.fastq	SRR10688554_16S_V4_amplicon_sequencing_of_MI27M_DCL_Aug2012_2.fastq
SRR10688555	SRR10688555_16S_V4_amplicon_sequencing_of_MI27M_SRF_April2013_1.fastq	SRR10688555_16S_V4_amplicon_sequencing_of_MI27M_SRF_April2013_2.fastq
SRR10688556	SRR10688556_16S_V4_amplicon_sequencing_of_MI18M_B10_Aug2012_1.fastq	SRR10688556_16S_V4_amplicon_sequencing_of_MI18M_B10_Aug2012_2.fastq
SRR10688557	SRR10688557_16S_V4_amplicon_sequencing_of_MI18M_MHY_Aug2012_1.fastq	SRR10688557_16S_V4_amplicon_sequencing_of_MI18M_MHY_Aug2012_2.fastq
SRR10688558	SRR10688558_16S_V4_amplicon_sequencing_of_MI18M_DCL_Aug2012_1.fastq	SRR10688558_16S_V4_amplicon_sequencing_of_MI18M_DCL_Aug2012_2.fastq
SRR10688559	SRR10688559_16S_V4_amplicon_sequencing_of_ON33M_SRF_Apr2012_1.fastq	SRR10688559_16S_V4_amplicon_sequencing_of_ON33M_SRF_Apr2012_2.fastq
SRR10688560	SRR10688560_16S_V4_amplicon_sequencing_of_MI18M_SRF2_Aug2012_1.fastq	SRR10688560_16S_V4_amplicon_sequencing_of_MI18M_SRF2_Aug2012_2.fastq
SRR10688561	SRR10688561_16S_V4_amplicon_sequencing_of_MI18M_SRF_Aug2012_1.fastq	SRR10688561_16S_V4_amplicon_sequencing_of_MI18M_SRF_Aug2012_2.fastq
SRR10688562	SRR10688562_16S_V4_amplicon_sequencing_of_HU54M_B10_Aug2012_1.fastq	SRR10688562_16S_V4_amplicon_sequencing_of_HU54M_B10_Aug2012_2.fastq
SRR10688563	SRR10688563_16S_V4_amplicon_sequencing_of_HU54M_MHY_Aug2012_1.fastq	SRR10688563_16S_V4_amplicon_sequencing_of_HU54M_MHY_Aug2012_2.fastq
SRR10688564	SRR10688564_16S_V4_amplicon_sequencing_of_SU18_SRF_Aug2013_1.fastq	SRR10688564_16S_V4_amplicon_sequencing_of_SU18_SRF_Aug2013_2.fastq
SRR10688565	SRR10688565_16S_V4_amplicon_sequencing_of_SU17M_B10_Aug2013_1.fastq	SRR10688565_16S_V4_amplicon_sequencing_of_SU17M_B10_Aug2013_2.fastq
SRR10688566	SRR10688566_16S_V4_amplicon_sequencing_of_SU17M_MHY_Aug2013_1.fastq	SRR10688566_16S_V4_amplicon_sequencing_of_SU17M_MHY_Aug2013_2.fastq
SRR10688567	SRR10688567_16S_V4_amplicon_sequencing_of_SU17M_DCL_Aug2013_1.fastq	SRR10688567_16S_V4_amplicon_sequencing_of_SU17M_DCL_Aug2013_2.fastq
SRR10688568	SRR10688568_16S_V4_amplicon_sequencing_of_HU54M_DCL_Aug2012_1.fastq	SRR10688568_16S_V4_amplicon_sequencing_of_HU54M_DCL_Aug2012_2.fastq
SRR10688569	SRR10688569_16S_V4_amplicon_sequencing_of_HU54M_SRF_Aug2012_1.fastq	SRR10688569_16S_V4_amplicon_sequencing_of_HU54M_SRF_Aug2012_2.fastq
SRR10688570	SRR10688570_16S_V4_amplicon_sequencing_of_HU45M_B10_Aug2012_1.fastq	SRR10688570_16S_V4_amplicon_sequencing_of_HU45M_B10_Aug2012_2.fastq
SRR10688571	SRR10688571_16S_V4_amplicon_sequencing_of_HU45M_MHY_Aug2012_1.fastq	SRR10688571_16S_V4_amplicon_sequencing_of_HU45M_MHY_Aug2012_2.fastq
SRR10688572	SRR10688572_16S_V4_amplicon_sequencing_of_HU45M_DCL_Aug2012_1.fastq	SRR10688572_16S_V4_amplicon_sequencing_of_HU45M_DCL_Aug2012_2.fastq
SRR10688573	SRR10688573_16S_V4_amplicon_sequencing_of_HU45M_SRF_Aug2012_1.fastq	SRR10688573_16S_V4_amplicon_sequencing_of_HU45M_SRF_Aug2012_2.fastq
SRR10688574	SRR10688574_16S_V4_amplicon_sequencing_of_HU45M_SRF_Apr2012_1.fastq	SRR10688574_16S_V4_amplicon_sequencing_of_HU45M_SRF_Apr2012_2.fastq
SRR10688575	SRR10688575_16S_V4_amplicon_sequencing_of_HU15M_B10_Aug2012_1.fastq	SRR10688575_16S_V4_amplicon_sequencing_of_HU15M_B10_Aug2012_2.fastq
SRR10688576	SRR10688576_16S_V4_amplicon_sequencing_of_LakeGuardian_ShipWater2_1.fastq	SRR10688576_16S_V4_amplicon_sequencing_of_LakeGuardian_ShipWater2_2.fastq
SRR10688577	SRR10688577_16S_V4_amplicon_sequencing_of_HU15M_MHY_Aug2012_1.fastq	SRR10688577_16S_V4_amplicon_sequencing_of_HU15M_MHY_Aug2012_2.fastq
SRR10688578	SRR10688578_16S_V4_amplicon_sequencing_of_LakeGuardian_ShipWater1_1.fastq	SRR10688578_16S_V4_amplicon_sequencing_of_LakeGuardian_ShipWater1_2.fastq
SRR10688579	SRR10688579_16S_V4_amplicon_sequencing_of_MIFO_B10_Aug2015_1.fastq	SRR10688579_16S_V4_amplicon_sequencing_of_MIFO_B10_Aug2015_2.fastq
SRR10688580	SRR10688580_16S_V4_amplicon_sequencing_of_MIFO_MHY_Aug2015_1.fastq	SRR10688580_16S_V4_amplicon_sequencing_of_MIFO_MHY_Aug2015_2.fastq
SRR10688581	SRR10688581_16S_V4_amplicon_sequencing_of_MIFO_DCL_Aug2015_1.fastq	SRR10688581_16S_V4_amplicon_sequencing_of_MIFO_DCL_Aug2015_2.fastq
SRR10688582	SRR10688582_16S_V4_amplicon_sequencing_of_MIFO_SRF_Aug2015_1.fastq	SRR10688582_16S_V4_amplicon_sequencing_of_MIFO_SRF_Aug2015_2.fastq
SRR1697762	SRR1697762_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697762_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697763	SRR1697763_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697763_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697765	SRR1697765_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697765_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697766	SRR1697766_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697766_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697767	SRR1697767_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697767_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697768	SRR1697768_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697768_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697769	SRR1697769_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697769_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697770	SRR1697770_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697770_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697771	SRR1697771_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697771_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697772	SRR1697772_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697772_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697774	SRR1697774_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697774_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697775	SRR1697775_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697775_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697776	SRR1697776_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697776_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697777	SRR1697777_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697777_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697778	SRR1697778_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697778_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697779	SRR1697779_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697779_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697780	SRR1697780_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697780_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697782	SRR1697782_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697782_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697783	SRR1697783_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697783_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697784	SRR1697784_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697784_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697785	SRR1697785_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697785_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697787	SRR1697787_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697787_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697788	SRR1697788_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697788_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697789	SRR1697789_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697789_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697790	SRR1697790_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697790_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697791	SRR1697791_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697791_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697792	SRR1697792_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697792_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697793	SRR1697793_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697793_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697794	SRR1697794_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697794_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697795	SRR1697795_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697795_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697797	SRR1697797_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697797_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697798	SRR1697798_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697798_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697799	SRR1697799_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697799_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697800	SRR1697800_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697800_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697801	SRR1697801_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697801_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697802	SRR1697802_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697802_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697803	SRR1697803_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697803_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697804	SRR1697804_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697804_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697805	SRR1697805_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697805_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697806	SRR1697806_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697806_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697807	SRR1697807_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697807_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697808	SRR1697808_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697808_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697809	SRR1697809_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697809_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697810	SRR1697810_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697810_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697811	SRR1697811_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697811_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697812	SRR1697812_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697812_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697813	SRR1697813_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697813_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697814	SRR1697814_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697814_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697816	SRR1697816_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697816_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697817	SRR1697817_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697817_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697818	SRR1697818_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697818_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697819	SRR1697819_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697819_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697820	SRR1697820_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697820_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697821	SRR1697821_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697821_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697822	SRR1697822_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697822_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697823	SRR1697823_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697823_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697824	SRR1697824_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697824_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697825	SRR1697825_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697825_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697827	SRR1697827_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697827_Metagenomics_of_freshwater_metagenome_2.fastq
SRR1697828	SRR1697828_Metagenomics_of_freshwater_metagenome_1.fastq	SRR1697828_Metagenomics_of_freshwater_metagenome_2.fastq
